id,num,NAME,lat,lng
"9407855","651443921",SONIC DRIVE-IN,39.878400,-83.044700
"9597192","664073939",CIMIS BISTRO,39.864800,-83.040500
"10151241","697290864",FIVE GUYS BURGERS & FRIES,39.879400,-83.043700
"10157986","697541688",RAISING CANE'S,39.878700,-83.054800
"11552747","715440661",GARDEN GRILLE,39.882100,-83.045700
"11589152","715839367",IHOP RESTAURANT,39.878800,-83.057600
"11778644","719160012",WE'RE ROLLING PRETZEL,39.876000,-83.042200
"12174111","851579607",CRACKER BARREL OLD COUNTRY STR,39.877300,-83.053300
"12174122","851581199",DONATOS PIZZA,39.878300,-83.062900
"13097367","986286607",BURGER KING,39.878100,-83.058400
"13097368","986286615",FIESTA MARIACHI,39.878800,-83.056200
"470603","137524427",BURGER KING,39.893300,-83.083500
"948703","205812019",BUFFALO WILD WINGS GRILL & BAR,39.919700,-83.117200
"1987294","364999862",SUBWAY,39.898700,-83.079600
"2207660","386721625",JOY LUCKY INC,39.893400,-83.084700
"3077733","403086665",ZANZIS,39.893200,-83.084500
"4277711","413896017",PAPA JOE'S PIZZA,39.922400,-83.092700
"4303483","414395753",DONATOS PIZZA,39.894400,-83.083600
"5220452","422128972",WAFFLE HOUSE,39.896500,-83.081600
"7820133","498426980",FRISCH'S BIG BOY RESTAURANT,39.902100,-83.078400
"8258900","546410549",STEAK 'N SHAKE,39.919500,-83.116800
"9852477","681461158",PIZZYRO'S PIZZA & GYRO,39.910700,-83.069300
"12759959","943982702",MC DONALD'S,39.895000,-83.082000
"13109968","987528288",WENDY'S,39.893900,-83.084100
"471598","137592028",DOMINO'S,39.954300,-83.076200
"471599","137592036",DONATOS PIZZA,39.942700,-83.089000
"471621","137593992",JOSEPPI'S PIZZA,39.943000,-83.083500
"471622","137594008",JOSIE'S PIZZA,39.954200,-83.086000
"471629","137594677",MINELLI'S RESTAURANT & PIZZA,39.942600,-83.101400
"471668","137597142",WENDY'S,39.943100,-83.080400
"473398","137776936",SHANNON'S PUB,39.944800,-83.111500
"473416","137778643",EMELIO'S RESTAURANT,39.940800,-83.112100
"473418","137778726",BOB EVANS RESTAURANT,39.952800,-83.116500
"473434","137780672",M & S CARRY OUT,39.940800,-83.111600
"473438","137780904",MC DONALD'S,39.935700,-83.113300
